gene_name number_of_transposon_per_gene number_of_read_per_gene
YDR366C 8 11
KEI1 3 2
YPR1 4 13
XRS2 21 269
DXO1 15 190
CTS2 19 174
YDR371C-A 1 0
VPS74 2 1
FRQ1 0 0
PHO92 10 73
WIP1 0 0
BCS1 1 0
ARH1 3 6
ATP17 1 0
LSM6 0 0
RGA2 32 402
SDH6 4 26
ARO10 26 241
YRA1 2 1
YDR381C-A 0 0
RPP2B 2 8
NKP1 10 33
ATO3 20 268
EFT2 1 0
MUS81 17 278
YDR387C 10 17
RVS167 12 140
SAC7 20 190
UBA2 5 10
YDR391C 7 86
SPT3 7 102
SHE9 20 175
RPT3 1 0
SXM1 6 32
YDR396W 2 1
NCB2 2 1
UTP5 6 12
HPT1 6 16
URH1 12 238
YDR401W 22 311
DIT2 30 551
DIT1 21 147
RPB7 0 0
MRP20 2 1
PDR15 135 3742
YDR406W-A 4 3
TRS120 1 0
ADE8 0 0
SIZ1 24 331
STE14 13 109
DFM1 13 173
RRP17 4 6
YDR413C 4 6
ERD1 7 23
YDR415C 10 87
SYF1 4 9
YDR417C 2 2
RPL12B 0 0
RAD30 16 132
HKR1 31 518
ARO80 29 387
SIP1 20 744
CAD1 13 229
DYN2 3 13
SNX41 11 61
YDR426C 2 4
RPN9 1 0
BNA7 4 66
TIF35 2 1
