gene_name number_of_transposon_per_gene number_of_read_per_gene
YCR024C-B 7 34
PMP1 1 0
YCR025C 42 561
NPP1 78 1141
RHB1 13 78
FEN2 6 71
RIM1 1 0
SYP1 43 546
RPS14A 7 71
BPH1 61 707
SNT1 20 226
ELO2 13 125
RRP43 3 5
RBK1 25 395
PHO87 52 1284
BUD5 13 45
YCR038W-A 0 0
MATALPHA2 0 0
MATALPHA1 1 0
YCR041W 0 0
TAF2 9 32
YCR043C 12 145
PER1 0 0
RRT12 46 883
YCR045W-A 18 199
IMG1 2 1
BUD23 5 8
YCR047W-A 0 0
YCR049C 15 129
ARE1 40 834
YCR050C 3 43
YCR051W 17 195
RSC6 1 0
THR4 0 0
CTR86 6 11
PWP2 6 12
YIH1 30 644
TAH1 3 14
YCR061W 128 3329
YCR064C 27 503
BUD31 6 18
HCM1 17 132
RAD18 2 1
SED4 43 394
ATG15 31 268
CPR4 19 311
IMG2 1 0
RSA4 0 0
SSK22 43 355
SOL2 16 271
ERS1 17 284
YCR075W-A 3 7
FUB1 8 41
PAT1 3 7
PTC6 11 42
SRB8 10 21
YCR081C-A 2 1
AHC2 4 8
TRX3 7 75
TUP1 1 0
YCR085W 4 28
CSM1 6 62
YCR087W 8 120
YCR087C-A 6 95
ABP1 27 477
FIG2 37 463
YCR090C 7 95
KIN82 32 445
MSH3 40 381
CDC39 8 12
CDC50 2 2
OCA4 13 50
YCR095W-A 8 104
HMRA2 0 0
HMRA1 0 0
YCR097W-A 0 0
GIT1 15 160
YCR099C 1 0
YCR100C 20 189
YCR101C 2 2
YCR102C 26 381
YCR102W-A 0 0
PAU3 6 22
ADH7 38 461
RDS1 27 335
AAD3 32 247
YCR108C 4 7
COS7 2 1
YDL247W-A 0 0
MPH2 3 2
SOR2 0 0
HXT15 7 55
THI13 13 81
AAD4 28 312
YDL242W 10 122
YDL241W 9 16
YDL240C-A 16 150
LRG1 20 243
ADY3 29 273
GUD1 10 35
AIM6 12 88
PHO13 5 46
YPD1 1 0
GYP7 38 517
MFG1 10 102
OST4 0 0
BRE4 23 321
PTP1 21 284
SSB1 10 65
YDL228C 7 16
HO 68 592
GCS1 1 0
SHS1 17 190
WHI4 21 344
HBT1 52 843
FMP45 7 48
YDL221W 49 1129
CDC13 23 410
DTD1 6 44
YDL218W 20 438
TIM22 2 1
RRI1 24 339
GDH2 63 987
PRR2 34 656
NOP6 20 321
SHR3 3 4
YDL211C 26 253
UGA4 27 311
CWC2 1 0
NHP2 3 3
GLE1 1 0
YDL206W 16 214
HEM3 1 0
RTN2 11 201
ACK1 25 105
MRPL11 3 3
TRM8 9 69
MGT1 14 136
YDL199C 15 147
GGC1 0 0
ASF2 27 376
YDL196W 33 713
SEC31 1 0
SNF3 18 128
NUS1 0 0
ARF1 0 0
RPL35A 1 0
UFD2 27 369
RBS1 11 35
PPH22 19 326
YDL187C 4 11
YDL186W 4 17
YDL185C-A 12 129
VMA1 0 0
RPL41A 0 0
YDL183C 21 229
LYS20 18 347
INH1 5 20
YDL180W 9 54
PCL9 4 4
DLD2 27 317
YDL177C 8 156
YDL176W 10 70
AIR2 10 139
DLD1 28 515
PAR32 7 52
YDL172C 5 8
GLT1 86 1642
UGA3 30 463
UGX2 8 39
SFA1 9 119
NRP1 22 179
FAP7 1 0
CDC36 1 0
CDC9 1 0
YDL163W 0 0
YDL162C 25 330
ENT1 10 169
MHF2 6 52
DHH1 3 8
YDL159W-A 11 57
STE7 26 431
YDL159C-B 2 1
YDL158C 8 104
YDL157C 3 8
CMR1 53 960
CLB3 15 159
MSH5 35 449
SAS10 2 4
YDL152W 7 46
BUD30 0 0
RPC53 0 0
ATG9 6 48
NOP14 3 5
RPN5 2 1
LDB17 11 84
COP1 0 0
YDL144C 28 470
CCT4 0 0
CRD1 6 30
BPL1 2 56
RPO21 8 16
SCM3 0 0
RGT2 26 446
ARF2 8 24
RPL35B 7 39
RDI1 6 90
PPH21 20 215
RPL41B 0 0
SRF1 15 99
CDC53 8 15
LYS21 15 194
STF1 1 0
RPP1B 6 50
YDL129W 26 309
VCX1 17 177
PCL2 39 561
CDC48 4 5
HNT1 18 101
YDL124W 14 261
SNA4 13 116
UBP1 17 187
YDL121C 15 172
YFH1 0 0
YDL119C 6 65
YDL118W 2 26
CYK3 23 262
NUP84 4 4
IWR1 11 144
YDL114W-A 0 0
YDL114W 16 102
ATG20 17 149
TRM3 46 526
RRP42 1 0
TMA17 8 54
YDL109C 31 668
KIN28 4 19
MSS2 7 50
PHO2 17 226
NSE4 0 0
QRI7 8 29
QRI1 3 6
POL3 5 9
DUN1 9 62
GET3 8 96
BUG1 18 166
SNU23 2 1
RPN6 1 0
OPI6 8 107
PMT1 15 168
YDL094C 16 435
PMT5 34 600
SRP14 6 152
UBX3 11 73
RAM1 1 0
NUR1 22 169
ASM4 10 56
LUC7 1 0
YDL086W 35 474
YDL086C-A 24 310
YDL085C-A 7 77
NDE2 21 445
SUB2 0 0
RPS16B 4 65
RPL13A 4 17
RPP1A 1 0
THI3 16 95
MRK1 37 484
MDH3 7 12
VAM6 4 12
RXT3 25 229
RPL31A 0 0
BRE1 1 0
YDL073W 45 495
YET3 9 110
YDL071C 25 165
BDF2 20 155
CBS1 0 0
YDL068W 0 0
COX9 0 0
IDP1 26 379
PEX19 16 249
UBC9 2 1
SYO1 11 71
YDL062W 2 1
