gene_name number_of_transposon_per_gene number_of_read_per_gene
BRE1 6 30
YDL073W 8 301
YET3 0 0
YDL071C 12 33
BDF2 7 58
CBS1 2 13
YDL068W 1 0
COX9 1 0
IDP1 8 120
PEX19 6 6
UBC9 1 0
SYO1 8 12
YDL062W 1 0
RPS29B 1 0
TSR1 4 3
RAD59 7 225
USO1 9 111
YDL057W 13 93
MBP1 12 24
PSA1 0 0
MCH1 13 33
PBP4 4 6
SLC1 9 1895
LHP1 18 926
YDL050C 10 587
KNH1 25 766
STP4 14 98
SIT4 7 13
NPC2 5 21
MRP10 0 0
FAD1 3 19
MTF2 8 13
PRP11 2 1
SIR2 15 774
YDL041W 8 559
NAT1 12 81
PRM7 14 204
BSC1 1 0
PUS9 11 98
GPR1 15 85
YDL034W 5 14
SLM3 16 283
YDL032W 2 39
DBP10 2 1
PRP9 5 5
ARP2 1 0
MPS1 4 3
YDL027C 6 12
YDL026W 4 6
RTK1 6 11
YDL025W-A 0 0
DIA3 9 107
YDL022C-A 5 16
YDL023C 4 4
GPD1 12 203
GPM2 19 486
RPN4 6 54
OSH2 15 191
ERP3 3 3
CDC7 6 6
YDL016C 2 1
TSC13 1 0
NOP1 1 0
SLX5 1 0
YDL012C 8 23
YDL011C 7 1540
GRX6 13 1740
YDL009C 5 11
APC11 5 7
YDL007C-A 1 0
RPT2 1 0
PTC1 7 32
MED2 12 150
ATP16 2 1
MCD1 9 182
NHP10 4 4
RMD1 35 834
NTH1 35 407
YRB1 0 0
RCR2 24 637
YDR003W-A 2 1
RAD57 22 609
MAF1 11 112
SOK1 25 280
TRP1 418 125301
YDR008C 173 27803
GAL3 25 298
YDR010C 26 2111
SNQ2 44 1088
RPL4B 3 2
PSF1 0 0
RAD61 11 44
HED1 2 1
YDR015C 1 0
DAD1 0 0
KCS1 19 393
YDR018C 19 1041
GCV1 7 12
DAS2 23 537
FAL1 3 3
ATG31 3 2
SES1 0 0
FYV1 5 7
RPS11A 0 0
NSI1 8 47
VPS54 14 80
REG1 7 10
YDR029W 1 0
RAD28 13 600
MIX14 5 56
PST2 4 6
MRH1 13 271
LYS14 11 363
YDR034C-A 3 2
YDR034W-B 0 0
ARO3 12 1555
EHD3 5 78
KRS1 4 9
ENA5 9 350
ENA2 4 8
ENA1 11 19
RSM10 2 1
YDR042C 2 1
NRG1 2 1
HEM13 1 0
RPC11 0 0
BAP3 12 539
HEM12 3 2
YDR048C 6 297
VMS1 6 38
TPI1 0 0
DET1 5 47
DBF4 0 0
YDR053W 0 0
CDC34 1 0
PST1 9 26
YDR056C 3 10
YOS9 10 455
TGL2 4 44
UBC5 4 6
MAK21 1 0
YDR061W 14 792
LCB2 3 2
AIM7 4 13
RPS13 0 0
RRG1 11 205
RTR2 3 5
OCA6 5 13
DOS2 2 3
DOA4 8 70
FMP16 1 0
PAA1 3 10
IPT1 10 328
SNF11 5 23
TPS2 10 190
PPH3 3 2
RAD55 10 237
SED1 3 2
SHU2 3 21
PET100 2 1
TFB5 1 0
VPS41 5 5
PDC2 1 0
STN1 4 59
RRP8 2 1
TVP23 3 6
AFR1 3 6
SSS1 0 0
RRP1 0 0
SLU7 2 15
YDR089W 20 229
YDR090C 3 14
RLI1 0 0
UBC13 4 5
DNF2 63 5797
YDR094W 18 518
YDR095C 10 160
GIS1 13 1477
MSH6 10 70
GRX3 3 2
BMH2 10 135
TVP15 1 0
ARX1 2 1
YDR102C 1 0
STE5 7 45
SPO71 12 36
TMS1 5 32
ARP10 4 4
TMN2 6 10
TRS85 2 1
YDR109C 5 25
FOB1 5 27
ALT2 3 2
IRC2 0 0
PDS1 1 0
YDR114C 6 10
YDR115W 1 0
MRPL1 9 20
TMA64 2 1
APC4 8 21
YDR118W-A 4 3
VBA4 9 191
COX26 1 0
TRM1 8 34
DPB4 1 0
KIN1 6 16
INO2 1 0
YDR124W 9 24
ECM18 1 0
SWF1 17 115
ARO1 8 37
MTC5 14 70
SAC6 3 5
FIN1 4 18
YDR131C 4 23
YDR132C 5 22
YDR133C 1 0
YCF1 15 85
VPS61 10 133
RGP1 2 2
HPR1 6 128
RUB1 0 0
MTQ2 0 0
DOP1 10 10
PEX7 6 281
SAN1 6 36
MKC7 11 68
TAF12 0 0
SWI5 3 100
EKI1 4 134
KGD2 4 10
YDR149C 0 0
NUM1 22 527
CTH1 3 17
GIR2 9 176
ENT5 5 9
YDR154C 1 0
CPR1 3 155
RPA14 2 2
YDR157W 9 720
HOM2 4 14
SAC3 10 25
SSY1 0 0
YDR161W 0 0
NBP2 2 1
CWC15 3 3
SEC1 6 10
TRM82 9 168
SEC5 6 156
TAF10 1 0
CDC37 1 0
STB3 0 0
YDR169C-A 5 17
SEC7 7 7
HSP42 5 38
SUP35 1 0
ARG82 2 1
HMO1 0 0
RSM24 1 0
NGG1 3 2
UBC1 1 0
SDH4 0 0
CSN9 0 0
YDR179W-A 5 16
SCC2 5 6
SAS4 7 7
CDC1 2 1
YDR182W-A 2 1
PLP1 2 1
YDR183C-A 0 0
ATC1 1 0
UPS3 2 1
YDR186C 8 184
YDR187C 2 1
CCT6 6 6
SLY1 0 0
RVB1 5 9
HST4 6 5
NUP42 5 46
YDR193W 2 10
MSS116 3 5
YDR194W-A 0 0
REF2 7 50
CAB5 4 7
CBS2 3 4
RKM2 2 2
YDR199W 1 0
VPS64 4 5
SPC19 0 0
RAV2 3 2
YDR203W 0 0
COQ4 3 2
MSC2 6 12
EBS1 6 6
UME6 13 35
MSS4 3 21
YDR209C 1 0
YDR210W 0 0
GCD6 3 2
TCP1 3 4
UPC2 7 123
AHA1 4 7
YDR215C 23 2760
ADR1 10 323
RAD9 10 52
SPR28 4 7
MFB1 3 4
YDR220C 6 337
GTB1 7 19
YDR222W 17 891
CRF1 4 4
HTB1 0 0
HTA1 1 0
ADK1 4 5
SIR4 5 19
PCF11 1 0
IVY1 7 192
YDR230W 8 204
COX20 5 96
HEM1 3 2
RTN1 5 60
LYS4 7 26
PRP42 0 0
FMN1 2 1
MRPL7 0 0
SEC26 6 5
YDR239C 8 172
SNU56 0 0
BUD26 5 39
AMD2 4 96
PRP28 4 3
PEX5 11 50
MNN10 6 48
TRS23 1 0
YDR246W-A 11 252
VHS1 8 56
YDR248C 0 0
YDR249C 3 9
YDR250C 11 585
PAM1 0 0
BTT1 0 0
MET32 2 1
CHL4 5 39
RMD5 9 476
CTA1 9 47
RKM4 3 6
HSP78 11 91
YAP6 9 258
SWM1 6 134
EXG2 13 379
YDR262W 2 9
DIN7 3 18
AKR1 6 5
PEX10 3 6
HEL2 10 126
CIA1 5 4
MSW1 2 1
YDR269C 2 1
CCC2 13 350
YDR271C 7 173
GLO2 6 125
DON1 3 3
YDR274C 20 361
BSC2 5 9
PMP3 1 0
MTH1 9 60
YDR278C 4 33
RNH202 6 9
RRP45 0 0
PHM6 0 0
YDR282C 5 5
GCN2 11 22
DPP1 3 3
ZIP1 6 23
YDR286C 2 4
INM2 3 2
NSE3 3 2
RTT103 2 1
YDR290W 3 4
HRQ1 10 74
SRP101 3 2
SSD1 16 1302
DPL1 10 484
HDA2 4 4
MHR1 2 16
SUR2 4 7
ATP5 0 0
BFR2 1 0
PRO1 2 1
CFT1 4 3
GPI11 1 0
RSC3 4 3
CPR5 8 42
HNT2 2 1
YDR306C 4 60
PMT7 4 3
SRB7 0 0
GIC2 7 152
SUM1 6 11
TFB1 0 0
SSF2 11 21
PIB1 7 538
RAD34 6 64
IPK1 3 2
OMS1 6 33
HIM1 6 77
MCM21 2 5
YFT2 8 546
SWA2 5 15
DAD4 1 0
YDR320W-B 4 79
ASP1 5 5
MRPL35 3 2
TIM11 0 0
PEP7 8 29
UTP4 3 4
YCG1 4 4
YSP2 10 23
YDR327W 0 0
SKP1 1 0
PEX3 5 11
UBX5 3 6
GPI8 2 1
IRC3 6 34
RQC1 5 120
SWR1 19 111
MSN5 9 10
YDR336W 8 181
MRPS28 5 5
YDR338C 11 210
