gene_name number_of_transposon_per_gene number_of_read_per_gene
YDR355C 0 0
SPC110 2 1
CNL1 7 56
GGA1 9 72
EAF1 4 119
OPI7 1 0
BCP1 4 3
TFC6 2 1
ESC2 3 4
SEM1 0 0
CDC40 2 1
ESF1 1 0
YDR366C 8 152
KEI1 0 0
YPR1 1 0
XRS2 11 82
DXO1 5 48
CTS2 6 138
YDR371C-A 0 0
VPS74 3 8
FRQ1 1 0
PHO92 3 2
WIP1 1 0
BCS1 8 142
ARH1 3 2
ATP17 0 0
LSM6 0 0
RGA2 7 174
SDH6 4 3
ARO10 13 292
YRA1 0 0
YDR381C-A 1 0
RPP2B 0 0
NKP1 1 0
ATO3 3 36
EFT2 1 0
MUS81 1 0
YDR387C 15 100
RVS167 6 78
SAC7 5 43
UBA2 3 2
YDR391C 1 0
SPT3 3 3
SHE9 2 1
RPT3 1 0
SXM1 10 13
YDR396W 1 0
NCB2 1 0
UTP5 1 0
HPT1 0 0
URH1 7 96
YDR401W 12 90
DIT2 14 92
DIT1 7 83
RPB7 0 0
MRP20 11 74
PDR15 33 2467
YDR406W-A 1 0
TRS120 9 11
ADE8 7 40
SIZ1 5 4
STE14 12 424
DFM1 12 67
RRP17 1 0
YDR413C 1 0
ERD1 8 98
YDR415C 1 0
SYF1 1 0
YDR417C 1 0
RPL12B 1 0
RAD30 7 22
HKR1 8 31
ARO80 19 1706
SIP1 12 152
CAD1 7 12
DYN2 4 6
SNX41 3 3
YDR426C 1 0
RPN9 0 0
BNA7 1 0
TIF35 0 0
CYM1 9 151
YDR431W 4 13
NPL3 2 1
YDR433W 1 0
GPI17 4 3
PPM1 6 49
PPZ2 10 288
GPI19 1 0
THI74 4 35
LRS4 0 0
DOT1 2 5
