gene_name number_of_transposon_per_gene number_of_read_per_gene
RTK1 15 212
YDL025W-A 1 0
DIA3 16 239
YDL022C-A 7 95
YDL023C 6 11
GPD1 19 208
GPM2 23 329
RPN4 3 4
OSH2 63 931
ERP3 14 192
CDC7 9 49
YDL016C 8 82
TSC13 1 0
NOP1 0 0
SLX5 1 0
YDL012C 5 16
YDL011C 4 55
GRX6 10 103
YDL009C 4 11
APC11 8 25
YDL007C-A 4 5
RPT2 3 9
PTC1 5 13
MED2 13 219
ATP16 18 304
MCD1 6 11
NHP10 13 84
RMD1 40 721
NTH1 61 1251
YRB1 0 0
RCR2 44 1057
YDR003W-A 2 11
RAD57 9 117
MAF1 7 59
SOK1 25 337
TRP1 545 69243
YDR008C 213 12606
GAL3 57 817
YDR010C 55 1848
SNQ2 64 1113
RPL4B 2 7
PSF1 0 0
RAD61 18 184
HED1 8 22
YDR015C 6 13
DAD1 0 0
KCS1 26 498
YDR018C 21 401
GCV1 25 204
DAS2 20 279
FAL1 0 0
ATG31 7 36
SES1 1 0
FYV1 7 136
RPS11A 0 0
NSI1 12 205
VPS54 11 52
REG1 14 167
YDR029W 4 5
RAD28 22 335
MIX14 4 50
PST2 5 9
MRH1 8 143
LYS14 8 66
YDR034C-A 2 1
YDR034W-B 2 1
ARO3 9 51
EHD3 9 191
KRS1 12 35
ENA5 1 0
ENA2 7 6
ENA1 7 23
RSM10 4 7
YDR042C 0 0
NRG1 7 67
HEM13 2 1
RPC11 0 0
BAP3 16 217
HEM12 4 11
YDR048C 14 115
VMS1 12 76
TPI1 0 0
DET1 5 54
DBF4 2 1
YDR053W 1 0
CDC34 5 24
PST1 5 6
YDR056C 5 36
YOS9 9 196
TGL2 5 41
UBC5 5 23
MAK21 4 10
YDR061W 11 46
LCB2 0 0
AIM7 5 54
RPS13 1 0
RRG1 10 139
RTR2 10 171
OCA6 4 22
DOS2 3 9
DOA4 6 10
FMP16 2 1
PAA1 8 61
IPT1 16 144
SNF11 8 94
TPS2 17 127
PPH3 12 48
RAD55 12 129
SED1 10 264
SHU2 15 73
PET100 9 80
TFB5 1 0
VPS41 14 94
PDC2 5 11
STN1 4 6
RRP8 7 18
TVP23 1 0
AFR1 17 519
SSS1 0 0
RRP1 1 0
SLU7 6 35
YDR089W 23 276
YDR090C 12 81
RLI1 3 5
UBC13 19 214
DNF2 89 1024
YDR094W 27 361
YDR095C 20 236
GIS1 10 50
MSH6 22 229
GRX3 8 54
BMH2 12 62
TVP15 7 100
ARX1 6 45
YDR102C 11 128
STE5 9 28
SPO71 22 120
TMS1 10 191
ARP10 7 79
TMN2 11 87
TRS85 16 85
YDR109C 12 71
FOB1 17 108
ALT2 8 81
IRC2 4 26
PDS1 1 0
YDR114C 5 60
YDR115W 1 0
MRPL1 7 58
TMA64 6 22
APC4 5 16
YDR118W-A 4 7
VBA4 16 236
COX26 4 19
TRM1 10 133
DPB4 2 5
KIN1 19 548
INO2 6 9
YDR124W 7 30
ECM18 3 2
SWF1 9 42
ARO1 6 10
MTC5 25 682
SAC6 7 13
FIN1 2 14
YDR131C 17 193
YDR132C 7 22
YDR133C 2 1
YCF1 22 233
VPS61 13 198
RGP1 5 13
HPR1 6 29
RUB1 2 7
MTQ2 1 0
DOP1 9 33
PEX7 5 71
SAN1 11 43
MKC7 14 223
TAF12 2 3
SWI5 3 7
EKI1 7 65
KGD2 9 66
YDR149C 2 8
NUM1 32 339
CTH1 1 0
GIR2 2 19
ENT5 9 198
YDR154C 2 1
CPR1 3 3
RPA14 5 24
YDR157W 11 85
HOM2 10 181
SAC3 14 82
SSY1 3 29
