gene_name number_of_transposon_per_gene number_of_read_per_gene
ARF1 1 0
RPL35A 1 0
UFD2 24 576
RBS1 15 74
PPH22 16 161
YDL187C 1 0
YDL186W 2 1
YDL185C-A 3 12
VMA1 7 36
RPL41A 0 0
YDL183C 10 347
LYS20 6 157
INH1 3 3
YDL180W 13 58
PCL9 3 11
DLD2 14 62
YDL177C 4 9
YDL176W 4 20
AIR2 10 40
DLD1 20 130
PAR32 7 57
YDL172C 4 13
GLT1 66 1835
UGA3 14 322
UGX2 5 58
SFA1 11 109
NRP1 18 146
FAP7 1 0
CDC36 3 16
CDC9 6 15
YDL163W 3 12
YDL162C 11 178
ENT1 10 165
MHF2 1 0
DHH1 5 45
YDL159W-A 5 6
STE7 26 568
YDL159C-B 3 28
YDL158C 6 18
YDL157C 7 98
CMR1 31 508
CLB3 6 33
MSH5 27 507
SAS10 0 0
YDL152W 4 4
BUD30 0 0
RPC53 3 2
ATG9 7 23
NOP14 3 2
RPN5 2 1
LDB17 11 109
COP1 2 1
YDL144C 12 97
CCT4 4 17
CRD1 9 122
BPL1 1 0
RPO21 9 34
SCM3 2 1
RGT2 19 336
ARF2 5 5
RPL35B 0 0
RDI1 4 50
PPH21 13 227
RPL41B 0 0
SRF1 13 69
CDC53 4 14
LYS21 10 119
STF1 3 12
RPP1B 3 3
YDL129W 5 50
VCX1 12 103
PCL2 23 669
CDC48 4 8
HNT1 5 174
YDL124W 13 154
SNA4 3 40
UBP1 18 273
YDL121C 2 41
YFH1 1 0
YDL119C 5 47
YDL118W 3 25
CYK3 20 364
NUP84 2 1
IWR1 11 223
YDL114W-A 0 0
YDL114W 12 122
ATG20 9 57
TRM3 48 889
RRP42 2 3
TMA17 11 300
YDL109C 34 651
KIN28 3 3
MSS2 6 56
PHO2 8 99
NSE4 0 0
QRI7 15 91
QRI1 3 20
POL3 2 1
DUN1 9 42
GET3 5 31
BUG1 19 286
SNU23 5 5
RPN6 0 0
OPI6 4 50
PMT1 18 180
YDL094C 16 594
PMT5 32 420
SRP14 3 81
UBX3 10 210
