gene_name number_of_transposon_per_gene number_of_read_per_gene
RPS11A 0 0
NSI1 24 381
VPS54 26 921
REG1 17 221
YDR029W 6 114
RAD28 23 429
MIX14 7 39
PST2 7 130
MRH1 18 879
LYS14 37 1050
YDR034C-A 5 73
YDR034W-B 5 11
ARO3 14 242
EHD3 29 864
KRS1 5 8
ENA5 16 30
ENA2 12 17
ENA1 19 285
RSM10 4 36
YDR042C 8 49
NRG1 13 115
HEM13 0 0
RPC11 1 0
BAP3 19 746
HEM12 7 14
YDR048C 19 627
VMS1 16 349
TPI1 1 0
DET1 14 173
DBF4 3 2
YDR053W 0 0
CDC34 5 98
PST1 17 385
YDR056C 13 138
YOS9 15 138
TGL2 19 302
UBC5 12 131
MAK21 7 30
YDR061W 19 478
LCB2 1 0
AIM7 4 10
RPS13 1 0
RRG1 13 220
RTR2 7 134
OCA6 14 221
DOS2 10 165
DOA4 9 45
FMP16 6 40
PAA1 9 428
IPT1 31 451
SNF11 8 50
TPS2 34 923
PPH3 2 1
RAD55 18 249
SED1 7 65
SHU2 16 306
PET100 4 157
TFB5 2 8
VPS41 11 25
PDC2 4 5
STN1 11 120
RRP8 8 17
TVP23 3 7
AFR1 10 247
SSS1 0 0
RRP1 0 0
SLU7 3 7
YDR089W 31 783
YDR090C 10 156
RLI1 0 0
UBC13 11 68
DNF2 79 3220
YDR094W 35 1182
YDR095C 32 481
GIS1 15 197
MSH6 24 409
GRX3 5 117
BMH2 28 452
TVP15 6 120
ARX1 4 24
YDR102C 9 137
STE5 25 627
SPO71 26 522
TMS1 14 480
ARP10 13 193
TMN2 9 95
TRS85 17 398
YDR109C 7 61
FOB1 10 100
ALT2 18 430
IRC2 6 125
PDS1 2 2
YDR114C 10 456
YDR115W 3 10
MRPL1 7 91
TMA64 4 10
APC4 4 17
YDR118W-A 2 24
VBA4 38 1094
COX26 3 16
TRM1 24 496
DPB4 4 23
KIN1 21 363
INO2 0 0
YDR124W 12 84
ECM18 5 15
SWF1 30 1189
ARO1 21 277
MTC5 29 1075
SAC6 7 32
FIN1 11 107
YDR131C 18 149
YDR132C 16 266
YDR133C 4 9
YCF1 34 516
VPS61 21 870
RGP1 9 29
HPR1 5 186
RUB1 0 0
MTQ2 1 0
DOP1 11 15
PEX7 10 232
SAN1 17 277
MKC7 12 91
TAF12 2 22
SWI5 6 185
EKI1 20 682
KGD2 16 579
YDR149C 5 95
NUM1 39 721
CTH1 3 4
GIR2 8 226
ENT5 6 63
YDR154C 7 214
CPR1 8 232
RPA14 9 23
YDR157W 19 234
HOM2 13 262
SAC3 14 91
SSY1 0 0
YDR161W 0 0
NBP2 8 181
CWC15 4 60
SEC1 8 8
TRM82 6 45
SEC5 5 9
TAF10 2 1
CDC37 5 9
STB3 9 62
YDR169C-A 4 58
SEC7 9 23
HSP42 11 257
SUP35 2 1
ARG82 0 0
HMO1 2 6
RSM24 9 78
NGG1 7 176
UBC1 0 0
SDH4 7 22
CSN9 3 24
YDR179W-A 4 9
SCC2 4 3
SAS4 15 221
CDC1 1 0
YDR182W-A 5 25
PLP1 8 226
YDR183C-A 1 0
ATC1 2 64
UPS3 9 145
YDR186C 27 695
YDR187C 1 0
CCT6 5 6
SLY1 0 0
RVB1 0 0
HST4 9 100
NUP42 7 65
YDR193W 3 5
MSS116 10 32
YDR194W-A 1 0
REF2 10 142
CAB5 3 2
CBS2 11 100
RKM2 4 25
YDR199W 2 2
VPS64 11 84
SPC19 0 0
RAV2 2 2
YDR203W 0 0
COQ4 4 46
MSC2 13 150
EBS1 10 33
UME6 23 491
MSS4 8 76
YDR209C 2 5
YDR210W 1 0
GCD6 1 0
TCP1 1 0
UPC2 16 245
AHA1 15 488
YDR215C 31 842
ADR1 28 533
RAD9 38 790
SPR28 2 12
MFB1 2 1
YDR220C 4 45
GTB1 18 518
YDR222W 15 438
CRF1 10 37
HTB1 0 0
HTA1 2 29
ADK1 1 0
SIR4 18 134
PCF11 3 3
IVY1 13 154
YDR230W 11 116
COX20 14 97
HEM1 4 3
RTN1 8 243
LYS4 14 292
PRP42 2 1
FMN1 2 3
MRPL7 1 0
SEC26 5 5
YDR239C 15 281
SNU56 5 32
BUD26 6 254
AMD2 19 261
PRP28 2 4
PEX5 12 123
MNN10 4 18
TRS23 2 49
YDR246W-A 30 1057
VHS1 16 520
YDR248C 4 12
YDR249C 6 78
YDR250C 19 311
PAM1 8 55
BTT1 1 0
MET32 1 0
CHL4 10 124
RMD5 10 72
CTA1 16 396
RKM4 12 245
HSP78 36 782
YAP6 16 154
SWM1 13 325
EXG2 10 29
YDR262W 4 6
DIN7 9 147
AKR1 11 178
PEX10 3 12
HEL2 10 32
CIA1 2 1
MSW1 5 18
YDR269C 0 0
CCC2 18 191
YDR271C 8 125
GLO2 2 1
DON1 8 47
YDR274C 44 1884
BSC2 12 217
PMP3 2 3
MTH1 20 356
YDR278C 6 11
RNH202 8 29
RRP45 4 17
PHM6 5 41
YDR282C 4 4
GCN2 17 163
DPP1 3 2
ZIP1 12 89
YDR286C 3 2
INM2 2 4
NSE3 0 0
RTT103 3 2
YDR290W 6 37
HRQ1 27 1480
SRP101 6 26
SSD1 31 486
DPL1 15 629
HDA2 8 42
MHR1 4 4
SUR2 10 257
ATP5 4 31
BFR2 1 0
PRO1 3 3
CFT1 5 5
GPI11 1 0
RSC3 0 0
CPR5 3 8
HNT2 4 112
YDR306C 10 54
PMT7 5 46
SRB7 1 0
GIC2 7 44
SUM1 7 12
TFB1 7 23
SSF2 11 71
PIB1 7 149
RAD34 14 133
IPK1 4 11
OMS1 14 208
HIM1 6 64
MCM21 3 12
YFT2 10 80
SWA2 5 59
DAD4 0 0
YDR320W-B 17 839
ASP1 4 5
MRPL35 0 0
TIM11 1 0
PEP7 8 10
UTP4 1 0
YCG1 5 119
YSP2 17 376
YDR327W 3 2
SKP1 1 0
PEX3 8 131
UBX5 11 263
GPI8 0 0
IRC3 20 539
RQC1 10 89
SWR1 20 233
MSN5 11 138
YDR336W 5 22
MRPS28 1 0
YDR338C 25 511
FCF1 0 0
YDR340W 12 51
YDR341C 7 8
HXT7 8 198
HXT6 6 7
YDR344C 6 28
HXT3 20 350
SVF1 14 483
MRP1 11 62
PAL1 15 695
YPS7 13 225
ATP22 6 29
SBE2 14 614
YPQ2 11 321
TRR1 2 1
TRP4 0 0
YDR354C-A 0 0
YDR355C 0 0
SPC110 3 2
CNL1 8 48
GGA1 10 124
EAF1 15 194
OPI7 3 2
BCP1 2 1
TFC6 4 3
ESC2 5 4
SEM1 0 0
CDC40 4 3
ESF1 3 3
YDR366C 6 10
KEI1 2 1
YPR1 3 3
XRS2 8 45
DXO1 9 319
CTS2 9 228
YDR371C-A 1 0
VPS74 4 11
FRQ1 0 0
PHO92 2 11
WIP1 1 0
BCS1 19 416
ARH1 1 0
ATP17 6 6
LSM6 1 0
RGA2 25 445
SDH6 5 38
ARO10 26 429
YRA1 0 0
YDR381C-A 1 0
RPP2B 3 7
NKP1 7 53
ATO3 10 131
EFT2 4 6
MUS81 3 4
YDR387C 9 27
RVS167 12 53
SAC7 6 57
UBA2 1 0
YDR391C 4 16
SPT3 6 80
SHE9 10 104
RPT3 3 3
SXM1 18 208
YDR396W 1 0
NCB2 1 0
UTP5 11 238
HPT1 0 0
URH1 12 230
YDR401W 15 349
DIT2 21 473
DIT1 11 586
RPB7 0 0
MRP20 22 566
PDR15 70 2040
YDR406W-A 2 5
TRS120 7 31
ADE8 10 77
SIZ1 11 43
STE14 8 130
DFM1 12 385
RRP17 0 0
YDR413C 0 0
ERD1 15 328
YDR415C 8 45
SYF1 6 96
YDR417C 1 0
RPL12B 1 0
RAD30 6 18
HKR1 27 505
ARO80 14 148
SIP1 14 157
CAD1 9 36
DYN2 4 49
SNX41 17 736
YDR426C 4 52
RPN9 5 7
BNA7 7 21
TIF35 2 1
CYM1 16 166
