gene_name number_of_transposon_per_gene number_of_read_per_gene
KCC4 230 3014
YCL022C 51 376
YCL021W-A 74 922
LEU2 132 1536
NFS1 18 123
DCC1 48 570
BUD3 349 4222
YCL012C 43 322
GBP2 157 1535
SGF29 47 542
ILV6 197 2957
STP22 124 1997
YCL007C 21 274
VMA9 17 99
LDB16 74 660
PGS1 73 1320
YCL002C 143 2217
RER1 53 249
YCL001W-A 20 52
YCL001W-B 33 231
YCR001W 28 590
CDC10 8 39
MRPL32 32 222
YCP4 50 528
CIT2 163 2171
YCR006C 347 6893
YCR007C 98 1384
SAT4 153 1870
RVS161 16 36
ADY2 101 1535
ADP1 324 5313
PGK1 11 89
YCR013C 12 109
POL4 165 2102
YCR015C 87 911
YCR016W 49 490
CWH43 53 627
SRD1 27 181
YCR018C-A 25 636
MAK32 106 1403
PET18 65 815
MAK31 11 61
HTL1 2 1
HSP30 113 1610
YCR022C 88 1567
YCR023C 151 1962
SLM5 30 170
YCR024C-B 19 154
PMP1 8 30
YCR025C 120 1592
NPP1 131 1297
RHB1 16 47
FEN2 24 180
RIM1 7 43
SYP1 90 1217
RPS14A 44 343
BPH1 7 17
SNT1 117 1708
ELO2 56 570
RRP43 4 34
RBK1 92 1280
PHO87 121 1523
BUD5 31 206
YCR038W-A 2 1
MATALPHA2 1 0
MATALPHA1 0 0
YCR041W 5 49
TAF2 48 554
YCR043C 17 268
PER1 17 335
RRT12 106 1490
YCR045W-A 41 459
IMG1 25 108
BUD23 18 208
YCR047W-A 0 0
YCR049C 43 731
ARE1 146 2408
YCR050C 17 241
YCR051W 73 1103
RSC6 9 42
THR4 6 9
CTR86 47 392
PWP2 25 246
YIH1 70 933
TAH1 27 342
YCR061W 323 5671
YCR064C 75 1533
BUD31 13 30
HCM1 110 857
RAD18 20 196
SED4 120 1321
ATG15 142 1785
CPR4 55 867
IMG2 25 143
RSA4 13 42
SSK22 307 10217
SOL2 57 602
ERS1 44 706
YCR075W-A 10 52
FUB1 36 516
PAT1 30 190
PTC6 59 739
SRB8 345 14369
YCR081C-A 38 1634
AHC2 23 366
TRX3 14 196
TUP1 18 156
YCR085W 18 50
CSM1 29 176
YCR087W 26 281
YCR087C-A 23 238
ABP1 126 1562
FIG2 94 875
YCR090C 45 440
KIN82 109 1704
MSH3 102 948
CDC39 112 1090
CDC50 58 600
OCA4 26 146
YCR095W-A 8 15
HMRA2 0 0
HMRA1 4 15
YCR097W-A 1 0
GIT1 54 406
YCR099C 22 339
YCR100C 47 513
YCR101C 19 156
YCR102C 65 969
YCR102W-A 4 7
PAU3 12 142
ADH7 111 1657
RDS1 104 1150
AAD3 50 484
YCR108C 14 116
COS7 11 43
YDL247W-A 2 1
MPH2 3 2
SOR2 3 2
HXT15 17 234
THI13 24 164
AAD4 53 704
YDL242W 54 651
YDL241W 14 120
YDL240C-A 35 293
LRG1 111 877
ADY3 70 446
GUD1 54 666
AIM6 35 353
PHO13 23 169
YPD1 2 3
GYP7 92 1076
MFG1 31 168
OST4 0 0
BRE4 92 922
PTP1 50 639
SSB1 30 302
YDL228C 12 120
HO 141 1219
GCS1 24 141
SHS1 31 293
WHI4 132 6757
HBT1 187 2435
FMP45 71 663
YDL221W 120 3242
CDC13 115 2077
DTD1 6 29
YDL218W 59 793
TIM22 4 38
RRI1 54 476
GDH2 152 1473
PRR2 88 1324
NOP6 39 555
SHR3 7 28
YDL211C 60 483
UGA4 87 871
CWC2 7 52
NHP2 5 8
GLE1 19 106
YDL206W 62 580
HEM3 20 219
RTN2 65 875
ACK1 42 214
MRPL11 14 113
TRM8 28 465
MGT1 22 160
YDL199C 60 692
GGC1 7 17
ASF2 103 1140
YDL196W 68 1311
SEC31 24 174
SNF3 44 308
NUS1 6 8
