gene_name number_of_transposon_per_gene number_of_read_per_gene
YCR047W-A 0 0
YCR049C 17 303
ARE1 57 1200
YCR050C 6 8
YCR051W 11 187
RSC6 3 3
THR4 7 89
CTR86 7 20
PWP2 6 14
YIH1 26 404
TAH1 4 7
YCR061W 109 3083
YCR064C 43 1348
BUD31 5 120
HCM1 28 427
RAD18 18 366
SED4 42 551
ATG15 53 977
CPR4 14 163
IMG2 9 384
RSA4 2 1
SSK22 55 1418
SOL2 15 182
ERS1 23 232
YCR075W-A 1 0
FUB1 13 285
PAT1 10 100
PTC6 18 354
SRB8 40 464
YCR081C-A 2 1
AHC2 8 119
TRX3 10 60
TUP1 5 21
YCR085W 4 17
CSM1 3 2
YCR087W 5 66
YCR087C-A 5 66
ABP1 23 209
FIG2 26 341
YCR090C 3 10
KIN82 27 827
MSH3 22 363
CDC39 15 37
CDC50 5 20
OCA4 6 11
YCR095W-A 3 11
HMRA2 0 0
HMRA1 12 102
YCR097W-A 0 0
GIT1 22 300
YCR099C 3 2
YCR100C 11 320
YCR101C 11 162
YCR102C 16 318
YCR102W-A 0 0
PAU3 9 142
ADH7 26 604
RDS1 29 476
AAD3 17 374
YCR108C 10 52
COS7 2 34
YDL247W-A 1 0
MPH2 3 2
SOR2 1 0
HXT15 5 21
THI13 5 11
AAD4 20 481
YDL242W 15 173
YDL241W 1 0
YDL240C-A 17 255
LRG1 25 137
ADY3 10 163
GUD1 18 572
AIM6 12 115
PHO13 5 20
YPD1 0 0
GYP7 15 170
MFG1 11 221
OST4 0 0
BRE4 24 624
PTP1 12 114
SSB1 10 108
YDL228C 5 12
HO 44 936
GCS1 5 21
SHS1 12 97
WHI4 10 188
HBT1 58 1283
FMP45 19 313
YDL221W 32 470
CDC13 26 641
DTD1 0 0
YDL218W 12 115
TIM22 3 26
RRI1 15 275
GDH2 44 814
PRR2 26 749
NOP6 11 112
SHR3 3 3
YDL211C 14 240
UGA4 16 276
CWC2 0 0
NHP2 0 0
GLE1 4 91
YDL206W 11 242
HEM3 5 7
RTN2 16 659
ACK1 19 310
MRPL11 7 216
TRM8 11 185
MGT1 7 41
YDL199C 20 342
GGC1 1 0
ASF2 34 912
YDL196W 26 458
SEC31 2 1
SNF3 23 261
NUS1 3 13
ARF1 2 3
RPL35A 1 0
UFD2 15 215
RBS1 9 140
PPH22 18 146
YDL187C 8 49
YDL186W 7 71
YDL185C-A 8 43
VMA1 11 77
RPL41A 1 0
YDL183C 10 119
LYS20 10 114
INH1 7 130
YDL180W 14 121
PCL9 6 34
DLD2 19 380
YDL177C 5 71
YDL176W 17 310
AIR2 13 363
DLD1 27 291
PAR32 8 35
YDL172C 3 2
GLT1 65 1871
UGA3 23 618
UGX2 15 196
SFA1 13 351
NRP1 14 166
FAP7 4 21
CDC36 3 44
CDC9 4 20
YDL163W 2 18
YDL162C 14 121
ENT1 12 128
MHF2 5 87
DHH1 6 43
YDL159W-A 10 127
STE7 10 165
YDL159C-B 0 0
YDL158C 1 0
YDL157C 6 19
CMR1 20 481
CLB3 20 152
MSH5 20 714
SAS10 1 0
YDL152W 9 103
BUD30 2 1
RPC53 2 1
ATG9 18 154
NOP14 8 58
RPN5 2 1
LDB17 12 144
COP1 2 1
