gene_name number_of_transposon_per_gene number_of_read_per_gene
YDL026W 5 29
RTK1 34 485
YDL025W-A 0 0
DIA3 31 205
YDL022C-A 4 85
YDL023C 15 63
GPD1 48 1096
GPM2 36 773
RPN4 35 354
OSH2 118 2427
ERP3 12 38
CDC7 11 92
YDL016C 11 219
TSC13 0 0
NOP1 2 1
SLX5 17 224
YDL012C 22 319
YDL011C 9 51
GRX6 18 120
YDL009C 8 35
APC11 7 31
YDL007C-A 8 69
RPT2 3 5
PTC1 11 108
MED2 20 267
ATP16 8 48
MCD1 4 6
NHP10 23 176
RMD1 84 2170
NTH1 217 6213
YRB1 2 1
RCR2 47 555
YDR003W-A 11 105
RAD57 23 260
MAF1 38 949
SOK1 78 1889
TRP1 826 239279
YDR008C 304 38711
GAL3 91 2714
YDR010C 67 1945
SNQ2 127 2595
RPL4B 4 61
PSF1 0 0
RAD61 20 134
HED1 12 110
YDR015C 8 70
DAD1 1 0
KCS1 58 521
YDR018C 54 1680
GCV1 41 632
DAS2 25 356
FAL1 7 120
ATG31 10 126
SES1 1 0
FYV1 19 172
RPS11A 1 0
NSI1 25 344
VPS54 30 437
REG1 44 342
YDR029W 4 10
RAD28 45 757
MIX14 14 83
PST2 16 88
MRH1 41 772
LYS14 47 607
YDR034C-A 6 53
YDR034W-B 2 3
ARO3 35 567
EHD3 45 927
KRS1 4 3
ENA5 32 276
ENA2 10 12
ENA1 10 30
RSM10 3 7
YDR042C 6 10
NRG1 28 241
HEM13 0 0
RPC11 2 2
BAP3 30 534
HEM12 4 4
YDR048C 25 179
VMS1 14 97
TPI1 0 0
DET1 31 202
DBF4 5 10
YDR053W 0 0
CDC34 1 0
PST1 22 763
YDR056C 24 468
YOS9 34 203
TGL2 6 16
UBC5 11 34
MAK21 8 93
YDR061W 16 89
LCB2 2 1
AIM7 5 27
RPS13 1 0
RRG1 9 92
RTR2 12 137
OCA6 9 60
DOS2 6 88
DOA4 10 91
FMP16 1 0
PAA1 6 43
IPT1 44 338
SNF11 9 63
TPS2 47 901
PPH3 8 86
RAD55 21 255
SED1 40 369
SHU2 26 502
PET100 2 2
TFB5 1 0
VPS41 16 131
PDC2 1 0
STN1 5 5
RRP8 10 56
TVP23 5 6
AFR1 14 113
SSS1 1 0
RRP1 0 0
SLU7 1 0
YDR089W 25 683
YDR090C 19 163
RLI1 1 0
UBC13 10 39
DNF2 98 2337
YDR094W 42 1071
YDR095C 29 239
GIS1 27 472
MSH6 24 402
GRX3 6 10
BMH2 45 395
TVP15 8 67
ARX1 4 13
YDR102C 13 127
STE5 13 204
SPO71 30 1320
TMS1 13 153
ARP10 16 68
TMN2 19 103
TRS85 22 292
YDR109C 15 94
FOB1 20 556
ALT2 34 342
IRC2 12 97
PDS1 3 4
YDR114C 9 43
YDR115W 1 0
MRPL1 8 46
TMA64 2 1
APC4 8 15
YDR118W-A 2 1
VBA4 33 398
COX26 1 0
TRM1 30 864
DPB4 4 24
KIN1 57 406
INO2 8 61
YDR124W 9 77
ECM18 9 15
SWF1 46 978
ARO1 35 487
MTC5 45 1539
SAC6 13 59
FIN1 11 146
YDR131C 15 188
YDR132C 27 172
YDR133C 1 0
YCF1 53 796
VPS61 15 85
RGP1 17 193
HPR1 7 67
RUB1 1 0
MTQ2 3 7
DOP1 13 68
PEX7 11 132
SAN1 20 593
MKC7 8 24
TAF12 2 1
SWI5 12 127
EKI1 19 98
KGD2 20 154
YDR149C 3 3
NUM1 44 653
CTH1 9 36
GIR2 11 76
ENT5 15 77
YDR154C 14 358
CPR1 12 290
RPA14 11 15
YDR157W 14 329
HOM2 21 469
SAC3 14 157
SSY1 0 0
YDR161W 1 0
NBP2 1 0
CWC15 6 27
SEC1 2 1
TRM82 14 30
SEC5 11 50
TAF10 0 0
CDC37 9 18
STB3 7 31
YDR169C-A 1 0
SEC7 8 23
HSP42 21 513
SUP35 1 0
ARG82 5 20
HMO1 9 51
RSM24 3 15
NGG1 7 22
UBC1 5 24
SDH4 3 6
CSN9 5 54
YDR179W-A 13 127
SCC2 8 15
SAS4 10 210
CDC1 1 0
YDR182W-A 4 12
PLP1 8 85
YDR183C-A 6 22
ATC1 3 3
UPS3 4 11
YDR186C 22 392
YDR187C 5 14
CCT6 3 3
SLY1 2 2
RVB1 1 0
HST4 12 56
NUP42 7 29
YDR193W 5 21
MSS116 10 75
YDR194W-A 2 1
REF2 2 7
CAB5 3 4
CBS2 6 19
RKM2 14 58
YDR199W 3 17
VPS64 11 64
SPC19 0 0
RAV2 2 6
YDR203W 1 0
COQ4 7 20
MSC2 18 319
EBS1 41 1228
UME6 22 136
MSS4 12 292
YDR209C 2 5
YDR210W 2 5
GCD6 3 2
TCP1 0 0
UPC2 37 602
AHA1 58 2013
YDR215C 31 261
ADR1 35 582
RAD9 39 278
SPR28 12 75
MFB1 7 40
YDR220C 7 58
GTB1 31 504
YDR222W 14 73
CRF1 11 172
HTB1 1 0
HTA1 2 1
ADK1 3 2
SIR4 53 301
PCF11 2 3
IVY1 16 201
YDR230W 16 144
COX20 16 126
HEM1 3 4
RTN1 10 54
LYS4 22 193
PRP42 2 1
FMN1 0 0
MRPL7 1 0
SEC26 7 10
YDR239C 21 381
SNU56 6 19
BUD26 20 562
AMD2 23 215
PRP28 6 12
PEX5 14 39
MNN10 8 78
TRS23 2 2
YDR246W-A 29 627
VHS1 41 1363
YDR248C 9 73
YDR249C 15 116
YDR250C 27 572
PAM1 23 174
BTT1 2 2
MET32 5 36
CHL4 15 108
RMD5 2 13
CTA1 12 94
RKM4 7 27
HSP78 50 765
YAP6 11 50
SWM1 18 360
EXG2 13 82
YDR262W 3 9
DIN7 21 103
AKR1 20 204
PEX10 5 12
HEL2 22 234
CIA1 2 2
MSW1 6 25
YDR269C 6 26
CCC2 51 763
YDR271C 18 120
GLO2 10 25
DON1 6 14
YDR274C 47 993
BSC2 16 547
PMP3 11 239
MTH1 44 1222
YDR278C 8 147
RNH202 9 132
RRP45 2 2
PHM6 1 0
YDR282C 3 20
GCN2 19 213
DPP1 7 46
ZIP1 23 388
YDR286C 0 0
INM2 8 41
NSE3 4 7
RTT103 4 8
YDR290W 4 9
HRQ1 35 341
SRP101 1 0
SSD1 39 554
DPL1 24 797
HDA2 14 97
MHR1 7 199
SUR2 14 50
ATP5 2 1
BFR2 2 12
PRO1 2 1
CFT1 6 7
GPI11 2 3
RSC3 1 0
CPR5 8 74
HNT2 11 128
YDR306C 23 221
PMT7 19 236
SRB7 0 0
GIC2 10 53
SUM1 15 458
TFB1 8 12
SSF2 21 111
PIB1 9 136
RAD34 17 188
IPK1 4 3
OMS1 22 167
HIM1 14 99
MCM21 6 47
YFT2 11 68
SWA2 12 65
DAD4 0 0
YDR320W-B 12 102
ASP1 12 41
MRPL35 9 16
TIM11 5 6
PEP7 13 37
UTP4 3 4
YCG1 4 4
YSP2 28 386
YDR327W 1 0
SKP1 2 1
PEX3 15 112
UBX5 7 73
GPI8 0 0
IRC3 19 345
RQC1 17 114
SWR1 28 456
MSN5 36 478
YDR336W 5 13
MRPS28 5 79
YDR338C 32 427
FCF1 0 0
YDR340W 17 311
YDR341C 1 0
HXT7 2 1
HXT6 2 1
YDR344C 19 208
HXT3 24 137
SVF1 28 349
MRP1 8 21
PAL1 26 156
YPS7 13 175
ATP22 14 284
SBE2 23 215
YPQ2 11 34
TRR1 3 11
TRP4 10 20
YDR354C-A 0 0
YDR355C 4 3
SPC110 9 25
CNL1 11 97
GGA1 18 119
EAF1 14 426
OPI7 1 0
BCP1 2 1
TFC6 5 7
ESC2 10 71
SEM1 0 0
CDC40 5 9
ESF1 1 0
YDR366C 8 12
KEI1 2 1
YPR1 4 3
XRS2 17 138
DXO1 19 138
CTS2 12 41
YDR371C-A 1 0
VPS74 4 12
FRQ1 0 0
PHO92 5 49
WIP1 2 1
BCS1 19 132
ARH1 2 1
ATP17 1 0
LSM6 0 0
RGA2 24 238
SDH6 8 25
ARO10 23 412
YRA1 1 0
YDR381C-A 1 0
RPP2B 0 0
NKP1 13 105
ATO3 26 518
EFT2 2 1
MUS81 14 93
YDR387C 18 58
RVS167 24 316
SAC7 21 427
UBA2 11 155
YDR391C 3 7
SPT3 8 28
SHE9 14 316
RPT3 0 0
SXM1 23 519
YDR396W 2 1
NCB2 2 1
UTP5 2 3
HPT1 3 4
URH1 19 248
YDR401W 18 101
DIT2 25 180
DIT1 16 109
RPB7 0 0
MRP20 19 246
PDR15 90 2057
YDR406W-A 2 1
TRS120 8 23
ADE8 10 71
SIZ1 17 179
STE14 8 12
DFM1 28 156
RRP17 0 0
YDR413C 0 0
ERD1 9 84
YDR415C 11 28
SYF1 5 38
YDR417C 0 0
RPL12B 0 0
RAD30 18 255
HKR1 37 701
ARO80 21 372
SIP1 33 277
CAD1 19 553
DYN2 2 2
SNX41 30 599
YDR426C 6 48
RPN9 2 1
BNA7 15 51
TIF35 0 0
CYM1 38 659
YDR431W 15 73
NPL3 10 67
YDR433W 8 26
