gene_name number_of_transposon_per_gene number_of_read_per_gene
POL3 8 10
DUN1 7 26
GET3 3 2
BUG1 3 8
SNU23 0 0
RPN6 2 3
OPI6 6 22
PMT1 7 29
YDL094C 9 27
PMT5 14 64
SRP14 5 12
UBX3 21 249
RAM1 2 1
NUR1 29 632
ASM4 7 97
LUC7 5 9
YDL086W 25 323
YDL086C-A 15 165
YDL085C-A 2 1
NDE2 14 146
SUB2 1 0
RPS16B 1 0
RPL13A 4 35
RPP1A 1 0
THI3 13 147
MRK1 26 557
MDH3 8 64
VAM6 10 101
RXT3 12 112
RPL31A 1 0
BRE1 7 65
YDL073W 42 807
YET3 12 81
YDL071C 21 321
BDF2 16 155
CBS1 11 378
YDL068W 6 126
COX9 3 176
IDP1 20 151
PEX19 12 239
UBC9 1 0
SYO1 15 83
YDL062W 6 22
RPS29B 2 1
TSR1 4 3
RAD59 9 24
USO1 23 169
YDL057W 13 455
MBP1 19 468
PSA1 3 5
MCH1 34 637
PBP4 6 19
SLC1 14 67
LHP1 18 407
YDL050C 12 232
KNH1 29 1060
STP4 50 804
SIT4 4 12
NPC2 5 8
MRP10 2 7
FAD1 3 9
MTF2 15 241
PRP11 3 7
SIR2 30 283
YDL041W 6 17
NAT1 24 392
PRM7 21 114
BSC1 7 32
PUS9 8 29
GPR1 60 336
YDL034W 8 28
SLM3 59 1262
YDL032W 1 0
DBP10 5 8
PRP9 4 5
ARP2 1 0
MPS1 4 7
YDL027C 9 92
YDL026W 4 39
RTK1 26 299
YDL025W-A 1 0
DIA3 22 454
YDL022C-A 6 77
YDL023C 10 104
GPD1 38 758
GPM2 36 554
RPN4 26 540
OSH2 88 2410
ERP3 7 75
CDC7 9 70
YDL016C 3 5
TSC13 1 0
NOP1 1 0
SLX5 9 140
YDL012C 11 186
YDL011C 5 28
GRX6 12 95
YDL009C 9 28
APC11 5 12
YDL007C-A 4 14
RPT2 1 0
PTC1 9 100
MED2 22 252
ATP16 5 43
MCD1 3 2
NHP10 18 133
RMD1 65 1998
NTH1 179 6515
YRB1 1 0
RCR2 44 1105
YDR003W-A 10 115
RAD57 19 202
MAF1 40 1311
SOK1 72 2445
TRP1 822 241725
YDR008C 302 39463
GAL3 71 2551
YDR010C 53 2025
SNQ2 106 2215
RPL4B 9 13
PSF1 0 0
RAD61 14 251
HED1 11 99
YDR015C 6 28
DAD1 0 0
KCS1 52 849
YDR018C 44 2152
GCV1 33 902
DAS2 40 636
FAL1 3 2
ATG31 6 7
SES1 0 0
FYV1 16 252
RPS11A 0 0
NSI1 26 542
VPS54 20 191
REG1 41 759
YDR029W 6 51
RAD28 21 233
MIX14 6 16
PST2 19 173
MRH1 25 265
LYS14 31 356
YDR034C-A 2 1
YDR034W-B 2 5
ARO3 31 270
EHD3 35 783
KRS1 6 6
ENA5 21 482
ENA2 11 13
ENA1 15 17
RSM10 2 2
YDR042C 2 1
NRG1 15 170
HEM13 0 0
RPC11 0 0
BAP3 35 695
HEM12 3 4
YDR048C 19 208
VMS1 6 24
