gene_name number_of_transposon_per_gene number_of_read_per_gene
PCL2 15 56
CDC48 11 33
HNT1 5 6
YDL124W 12 48
SNA4 3 17
UBP1 20 169
YDL121C 3 2
YFH1 1 0
YDL119C 3 16
YDL118W 0 0
CYK3 15 140
NUP84 11 29
IWR1 18 94
YDL114W-A 0 0
YDL114W 2 3
ATG20 6 16
TRM3 28 83
RRP42 2 2
TMA17 5 59
YDL109C 9 28
KIN28 11 21
MSS2 8 76
PHO2 21 41
NSE4 1 0
QRI7 4 4
QRI1 2 1
POL3 15 40
DUN1 5 9
GET3 11 59
BUG1 10 25
SNU23 9 22
RPN6 11 19
OPI6 8 27
PMT1 20 102
YDL094C 17 189
PMT5 13 94
SRP14 9 27
UBX3 7 8
RAM1 2 3
NUR1 19 83
ASM4 2 2
LUC7 4 18
YDL086W 17 98
YDL086C-A 11 53
YDL085C-A 3 33
NDE2 16 196
SUB2 2 3
RPS16B 1 0
RPL13A 5 11
RPP1A 0 0
THI3 14 273
MRK1 18 368
MDH3 19 220
VAM6 13 35
RXT3 7 47
RPL31A 0 0
BRE1 15 30
YDL073W 18 183
YET3 2 2
YDL071C 11 161
BDF2 13 47
CBS1 9 114
YDL068W 5 94
COX9 2 2
IDP1 15 62
PEX19 14 35
UBC9 6 14
SYO1 19 75
YDL062W 5 15
RPS29B 0 0
TSR1 10 13
RAD59 4 30
USO1 29 119
YDL057W 23 110
MBP1 26 189
PSA1 2 1
MCH1 29 328
PBP4 7 43
SLC1 12 48
LHP1 6 7
YDL050C 3 2
KNH1 4 46
STP4 19 117
SIT4 12 48
NPC2 5 42
MRP10 1 0
FAD1 2 2
MTF2 6 26
PRP11 3 2
SIR2 25 290
YDL041W 11 93
NAT1 15 94
PRM7 39 294
BSC1 7 76
PUS9 21 223
GPR1 14 55
YDL034W 2 1
SLM3 16 146
YDL032W 0 0
DBP10 6 19
PRP9 11 17
ARP2 0 0
MPS1 16 38
YDL027C 11 36
YDL026W 0 0
RTK1 8 97
YDL025W-A 0 0
DIA3 14 354
YDL022C-A 5 146
YDL023C 7 73
GPD1 17 170
GPM2 16 202
RPN4 7 13
OSH2 57 930
ERP3 11 32
CDC7 5 9
YDL016C 2 3
TSC13 2 1
NOP1 1 0
SLX5 14 70
YDL012C 3 3
YDL011C 1 0
GRX6 3 20
YDL009C 3 4
APC11 3 15
YDL007C-A 1 0
RPT2 5 9
PTC1 9 24
MED2 5 73
ATP16 11 64
MCD1 12 26
NHP10 20 96
RMD1 36 594
NTH1 70 1283
YRB1 1 0
RCR2 22 260
YDR003W-A 3 9
RAD57 9 19
MAF1 8 62
SOK1 37 375
TRP1 604 71098
YDR008C 237 11747
GAL3 50 1202
YDR010C 41 882
SNQ2 65 970
RPL4B 6 125
PSF1 0 0
RAD61 7 17
HED1 3 6
YDR015C 0 0
DAD1 2 2
KCS1 21 92
YDR018C 9 47
GCV1 25 192
DAS2 21 412
FAL1 0 0
ATG31 11 49
SES1 6 19
FYV1 5 37
RPS11A 0 0
NSI1 24 728
VPS54 21 91
REG1 22 55
YDR029W 4 4
RAD28 23 435
MIX14 6 69
PST2 15 46
MRH1 6 193
LYS14 10 46
YDR034C-A 1 0
YDR034W-B 0 0
ARO3 6 9
EHD3 7 95
KRS1 18 66
ENA5 6 5
ENA2 0 0
ENA1 12 67
RSM10 3 3
YDR042C 1 0
NRG1 10 207
HEM13 1 0
RPC11 2 1
BAP3 7 52
HEM12 9 12
YDR048C 17 83
VMS1 17 62
TPI1 1 0
DET1 12 184
DBF4 2 1
YDR053W 0 0
CDC34 5 6
PST1 6 62
YDR056C 6 118
YOS9 7 20
TGL2 5 11
UBC5 8 10
MAK21 7 8
YDR061W 14 93
LCB2 2 1
AIM7 12 48
RPS13 2 3
RRG1 8 218
RTR2 5 17
OCA6 10 80
DOS2 2 1
DOA4 6 7
FMP16 2 1
PAA1 4 3
IPT1 7 18
SNF11 6 43
TPS2 21 129
PPH3 2 3
RAD55 32 297
SED1 10 117
SHU2 18 228
PET100 5 13
TFB5 3 2
VPS41 28 88
PDC2 5 5
STN1 12 33
RRP8 13 67
TVP23 3 11
AFR1 9 63
SSS1 0 0
RRP1 0 0
SLU7 3 3
YDR089W 33 219
YDR090C 10 22
RLI1 6 6
UBC13 8 115
DNF2 82 1822
YDR094W 20 253
YDR095C 10 77
GIS1 2 2
MSH6 15 135
GRX3 3 3
BMH2 7 22
TVP15 4 7
ARX1 5 65
YDR102C 2 13
STE5 10 57
SPO71 34 184
TMS1 12 162
ARP10 6 49
TMN2 24 79
TRS85 12 29
YDR109C 9 19
FOB1 13 62
ALT2 13 86
IRC2 2 2
PDS1 8 9
YDR114C 1 0
YDR115W 4 25
MRPL1 7 26
TMA64 14 78
APC4 5 12
YDR118W-A 0 0
VBA4 20 423
COX26 1 0
TRM1 5 14
DPB4 2 4
KIN1 8 12
INO2 4 9
YDR124W 19 184
ECM18 1 0
SWF1 13 58
ARO1 11 38
MTC5 20 91
SAC6 12 21
FIN1 2 5
YDR131C 11 41
YDR132C 14 44
YDR133C 0 0
YCF1 17 154
VPS61 5 9
RGP1 10 19
HPR1 19 44
RUB1 1 0
MTQ2 3 2
DOP1 34 93
PEX7 12 138
SAN1 12 31
MKC7 18 49
TAF12 12 30
SWI5 8 13
EKI1 8 91
KGD2 5 46
YDR149C 2 1
NUM1 52 200
CTH1 6 11
GIR2 2 1
ENT5 7 19
YDR154C 2 1
CPR1 3 2
RPA14 8 44
YDR157W 7 101
HOM2 2 33
SAC3 19 78
SSY1 3 24
YDR161W 1 0
NBP2 0 0
CWC15 4 3
SEC1 21 72
TRM82 8 35
SEC5 17 113
TAF10 5 10
CDC37 15 39
STB3 3 25
YDR169C-A 10 57
SEC7 28 51
HSP42 10 23
SUP35 10 39
ARG82 3 3
HMO1 1 0
RSM24 7 17
NGG1 12 29
UBC1 4 3
SDH4 3 2
CSN9 7 8
YDR179W-A 5 7
SCC2 19 58
SAS4 4 6
CDC1 9 14
YDR182W-A 2 2
PLP1 1 0
YDR183C-A 0 0
ATC1 4 7
UPS3 2 1
YDR186C 21 130
YDR187C 3 8
CCT6 10 9
SLY1 12 31
RVB1 4 3
HST4 11 53
NUP42 4 12
YDR193W 0 0
MSS116 6 12
YDR194W-A 0 0
REF2 11 59
CAB5 2 2
CBS2 4 6
RKM2 8 19
YDR199W 0 0
VPS64 22 74
SPC19 0 0
RAV2 3 14
YDR203W 1 0
COQ4 13 66
MSC2 17 49
EBS1 13 40
UME6 13 26
MSS4 18 37
YDR209C 2 2
YDR210W 2 2
GCD6 14 23
TCP1 6 11
UPC2 11 26
AHA1 17 141
YDR215C 14 332
ADR1 39 125
RAD9 31 129
SPR28 5 4
MFB1 1 0
YDR220C 2 1
GTB1 17 30
YDR222W 3 12
CRF1 1 0
HTB1 0 0
HTA1 2 1
ADK1 6 19
SIR4 8 17
PCF11 3 9
IVY1 5 5
YDR230W 2 3
COX20 7 13
HEM1 2 2
RTN1 0 0
LYS4 25 100
PRP42 0 0
FMN1 1 0
MRPL7 1 0
SEC26 12 30
YDR239C 7 33
SNU56 2 7
BUD26 6 29
AMD2 15 43
PRP28 6 12
PEX5 22 105
MNN10 4 16
TRS23 4 4
YDR246W-A 5 66
VHS1 8 25
YDR248C 3 4
YDR249C 12 19
YDR250C 7 263
PAM1 19 134
BTT1 5 10
MET32 10 94
CHL4 1 0
RMD5 4 3
CTA1 10 58
RKM4 6 25
HSP78 31 117
YAP6 16 129
SWM1 7 40
EXG2 22 139
YDR262W 2 1
DIN7 15 92
AKR1 26 52
PEX10 3 2
HEL2 6 19
CIA1 11 25
MSW1 5 35
YDR269C 0 0
CCC2 10 38
YDR271C 0 0
GLO2 8 24
DON1 2 1
YDR274C 23 686
BSC2 16 80
PMP3 2 1
MTH1 9 56
YDR278C 7 9
RNH202 6 14
RRP45 2 1
PHM6 1 0
YDR282C 14 32
GCN2 40 139
DPP1 11 55
ZIP1 18 72
YDR286C 2 29
INM2 3 2
NSE3 11 25
RTT103 1 0
YDR290W 1 0
HRQ1 22 157
SRP101 23 64
SSD1 30 139
DPL1 12 43
HDA2 10 39
MHR1 2 7
SUR2 5 22
ATP5 0 0
BFR2 8 10
PRO1 3 3
CFT1 11 20
GPI11 5 8
RSC3 11 20
CPR5 5 10
HNT2 8 73
YDR306C 13 73
PMT7 6 33
SRB7 1 0
GIC2 9 29
SUM1 24 116
TFB1 5 4
SSF2 15 54
PIB1 3 3
RAD34 6 7
IPK1 5 13
OMS1 12 78
HIM1 9 32
MCM21 5 6
YFT2 10 186
SWA2 14 43
DAD4 0 0
YDR320W-B 4 44
ASP1 4 14
MRPL35 10 22
TIM11 1 0
PEP7 19 50
UTP4 5 11
YCG1 22 63
YSP2 43 352
YDR327W 3 2
SKP1 1 0
PEX3 11 40
UBX5 22 67
GPI8 3 3
IRC3 8 30
RQC1 16 27
SWR1 34 179
MSN5 15 39
YDR336W 15 365
MRPS28 5 10
YDR338C 7 54
FCF1 0 0
YDR340W 7 32
YDR341C 7 7
HXT7 1 0
HXT6 3 6
YDR344C 11 90
HXT3 9 36
SVF1 9 31
MRP1 1 0
PAL1 8 15
YPS7 3 10
ATP22 2 2
SBE2 11 38
YPQ2 5 6
TRR1 0 0
TRP4 6 5
YDR354C-A 1 0
YDR355C 0 0
SPC110 9 21
CNL1 1 0
