gene_name number_of_transposon_per_gene number_of_read_per_gene
NUR1 11 64
ASM4 7 28
LUC7 0 0
YDL086W 14 264
YDL086C-A 11 116
YDL085C-A 5 18
NDE2 22 299
SUB2 2 1
RPS16B 0 0
RPL13A 3 2
RPP1A 0 0
THI3 17 419
MRK1 31 364
MDH3 24 290
VAM6 10 91
RXT3 7 40
RPL31A 0 0
BRE1 3 3
YDL073W 16 216
YET3 0 0
YDL071C 11 66
BDF2 14 105
CBS1 3 38
YDL068W 3 41
COX9 0 0
IDP1 20 221
PEX19 18 96
UBC9 1 0
SYO1 14 56
YDL062W 1 0
RPS29B 0 0
TSR1 7 14
RAD59 11 34
USO1 16 115
YDL057W 14 171
MBP1 16 117
PSA1 1 0
MCH1 19 155
PBP4 6 35
SLC1 9 85
LHP1 11 40
YDL050C 3 6
KNH1 16 450
STP4 30 392
SIT4 6 38
NPC2 12 92
MRP10 3 7
FAD1 0 0
MTF2 7 49
PRP11 2 1
SIR2 23 232
YDL041W 9 57
NAT1 13 84
PRM7 21 145
BSC1 5 9
PUS9 13 103
GPR1 11 28
YDL034W 2 3
SLM3 24 305
YDL032W 11 53
DBP10 4 3
PRP9 11 42
ARP2 1 0
MPS1 10 35
YDL027C 11 117
YDL026W 4 23
RTK1 15 147
YDL025W-A 1 0
DIA3 20 258
YDL022C-A 7 17
YDL023C 7 71
GPD1 11 114
GPM2 29 361
RPN4 2 6
OSH2 73 1207
ERP3 21 317
CDC7 12 50
YDL016C 5 28
TSC13 0 0
NOP1 4 7
SLX5 4 6
YDL012C 12 99
YDL011C 4 8
GRX6 11 45
YDL009C 7 11
APC11 3 14
YDL007C-A 2 2
RPT2 1 0
PTC1 3 33
MED2 18 149
ATP16 10 99
MCD1 6 16
NHP10 8 44
RMD1 30 538
NTH1 78 1325
YRB1 0 0
RCR2 52 1079
YDR003W-A 2 3
RAD57 13 100
MAF1 6 57
SOK1 39 605
TRP1 639 107537
YDR008C 248 19517
GAL3 59 766
YDR010C 52 1330
SNQ2 73 1383
RPL4B 2 1
PSF1 0 0
RAD61 17 222
HED1 7 55
YDR015C 7 55
DAD1 0 0
KCS1 34 662
YDR018C 24 389
GCV1 20 174
DAS2 13 95
FAL1 1 0
ATG31 7 14
SES1 2 1
FYV1 8 71
RPS11A 0 0
NSI1 18 268
VPS54 12 94
REG1 15 113
YDR029W 7 68
RAD28 21 313
MIX14 2 38
PST2 6 20
MRH1 14 246
LYS14 12 159
YDR034C-A 0 0
YDR034W-B 2 1
ARO3 10 130
EHD3 7 85
KRS1 7 11
ENA5 0 0
ENA2 3 2
ENA1 7 136
RSM10 2 1
YDR042C 3 5
NRG1 11 111
HEM13 2 1
RPC11 2 1
BAP3 11 220
HEM12 4 3
YDR048C 15 273
VMS1 10 53
TPI1 0 0
DET1 8 92
DBF4 1 0
YDR053W 0 0
CDC34 3 27
PST1 8 75
YDR056C 5 20
YOS9 9 157
TGL2 9 77
UBC5 7 58
MAK21 6 8
YDR061W 16 77
LCB2 3 5
AIM7 11 149
RPS13 1 0
RRG1 4 17
RTR2 10 134
OCA6 7 88
DOS2 3 4
DOA4 4 4
FMP16 2 2
PAA1 7 86
IPT1 7 47
SNF11 9 22
TPS2 22 136
PPH3 7 14
RAD55 14 123
SED1 9 113
SHU2 18 105
PET100 3 2
TFB5 0 0
VPS41 19 89
PDC2 4 3
STN1 5 16
RRP8 9 40
TVP23 4 7
AFR1 13 261
SSS1 0 0
RRP1 0 0
SLU7 11 46
YDR089W 25 363
YDR090C 8 75
RLI1 3 7
UBC13 10 82
DNF2 70 1302
YDR094W 29 722
YDR095C 18 363
GIS1 12 118
MSH6 19 255
GRX3 10 143
BMH2 20 113
TVP15 5 66
ARX1 4 6
YDR102C 10 178
STE5 6 8
SPO71 24 185
TMS1 17 204
ARP10 6 47
TMN2 12 79
TRS85 21 185
YDR109C 6 80
FOB1 26 156
ALT2 12 26
IRC2 4 11
PDS1 2 2
YDR114C 6 21
YDR115W 0 0
MRPL1 3 4
TMA64 11 53
APC4 5 12
YDR118W-A 1 0
VBA4 12 271
COX26 5 20
TRM1 16 176
DPB4 6 93
KIN1 20 346
INO2 3 5
YDR124W 8 25
ECM18 4 25
SWF1 10 166
ARO1 6 6
MTC5 25 383
SAC6 5 13
FIN1 3 27
YDR131C 11 63
YDR132C 8 26
YDR133C 0 0
YCF1 23 260
VPS61 12 314
RGP1 9 61
HPR1 8 117
RUB1 1 0
MTQ2 2 1
DOP1 16 115
PEX7 9 55
SAN1 8 50
MKC7 17 157
TAF12 2 7
SWI5 6 5
EKI1 7 40
KGD2 10 132
YDR149C 4 21
NUM1 38 451
CTH1 5 13
GIR2 3 4
ENT5 7 31
YDR154C 2 5
CPR1 6 15
RPA14 7 34
YDR157W 10 111
HOM2 13 177
SAC3 18 184
SSY1 5 19
YDR161W 1 0
NBP2 1 0
CWC15 2 12
SEC1 7 47
TRM82 4 6
SEC5 13 82
TAF10 4 5
CDC37 11 54
STB3 9 16
YDR169C-A 1 0
SEC7 16 65
HSP42 7 19
SUP35 2 1
ARG82 2 1
HMO1 4 9
RSM24 6 33
NGG1 6 38
UBC1 1 0
SDH4 1 0
CSN9 4 34
YDR179W-A 8 75
SCC2 19 120
SAS4 6 11
CDC1 4 11
YDR182W-A 3 11
PLP1 3 5
YDR183C-A 2 41
ATC1 4 54
UPS3 5 32
YDR186C 17 86
YDR187C 2 1
CCT6 6 8
SLY1 14 113
RVB1 6 14
HST4 7 35
NUP42 3 3
YDR193W 1 0
MSS116 5 10
YDR194W-A 5 9
REF2 14 272
CAB5 3 23
CBS2 9 37
RKM2 11 22
YDR199W 1 0
VPS64 16 93
SPC19 1 0
RAV2 4 15
YDR203W 3 9
COQ4 8 54
MSC2 8 33
EBS1 7 11
UME6 12 48
MSS4 14 74
YDR209C 4 34
YDR210W 4 34
GCD6 6 16
TCP1 5 7
UPC2 13 152
AHA1 22 393
YDR215C 18 373
ADR1 14 98
RAD9 39 467
SPR28 8 109
MFB1 1 0
YDR220C 3 11
GTB1 18 199
YDR222W 4 7
CRF1 6 43
HTB1 2 1
HTA1 0 0
ADK1 5 22
SIR4 10 88
PCF11 3 13
IVY1 18 250
YDR230W 7 43
COX20 9 46
HEM1 2 1
RTN1 4 21
LYS4 22 226
PRP42 0 0
FMN1 3 2
MRPL7 0 0
SEC26 3 25
YDR239C 13 82
SNU56 1 0
BUD26 3 17
AMD2 15 105
PRP28 2 5
PEX5 8 11
MNN10 2 3
TRS23 0 0
YDR246W-A 11 129
VHS1 6 16
YDR248C 7 21
YDR249C 14 80
YDR250C 20 615
PAM1 12 40
BTT1 1 0
MET32 8 12
CHL4 3 2
RMD5 7 21
CTA1 8 28
RKM4 4 16
HSP78 21 243
YAP6 3 4
SWM1 16 478
EXG2 11 77
YDR262W 2 1
DIN7 14 180
AKR1 16 71
PEX10 3 2
HEL2 14 207
CIA1 2 3
MSW1 9 130
YDR269C 1 0
CCC2 11 55
YDR271C 3 4
GLO2 8 38
DON1 8 30
YDR274C 33 708
BSC2 18 114
PMP3 3 6
MTH1 10 99
YDR278C 6 22
RNH202 5 34
RRP45 5 8
PHM6 3 4
YDR282C 9 41
GCN2 32 198
DPP1 10 92
ZIP1 12 78
YDR286C 5 4
INM2 7 95
NSE3 5 11
RTT103 4 8
YDR290W 2 9
HRQ1 22 114
SRP101 5 17
SSD1 15 199
DPL1 18 91
HDA2 10 69
